"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"437","music","during",230,"hd","False","False",18.5515122589351,14.1117647842967,10.2885118297395,"3",3,3,"9","9",5,8,2020,17.9092147485255
"438","music","before",206,"hd","True","False",18.5865480184811,13.3412225639208,9.69590972432601,"3",3,3,"9","9",1,23,2019,18.4267541534068
"439","music","before",264,"hd","True","False",18.7773296975534,14.4615598416624,11.3414726290614,"3",3,3,"9","9",2,14,2019,18.4078275240909
"440","science/tech","before",146,"hd","False","False",15.1486723026014,4.68213122712422,2.07944154167984,"3",1,1,"7","7",9,19,2019,18.1971125775019
"441","education","after",61,"hd","False","False",15.7808093831036,6.33505425149806,3.85014760171006,"3",1,1,"7","7",11,11,2021,16.3184581534794
"442","music","before",190,"hd","False","False",16.1061099080588,12.5619868001421,8.86120833720818,"3",3,3,"8","8",9,16,2019,18.2008516686887
"443","education","after",587,"hd","False","True",15.2493228457311,9.98068004836603,0,"3",2,1,"7","7",1,17,2022,15.6754810153104
"444","music","before",232,"hd","False","False",18.4631072745159,13.8675535212798,10.5942819675125,"3",3,3,"9","9",8,23,2019,18.2260619774582
"445","music","before",151,"hd","False","False",15.3630862580826,11.1157261012791,7.17548971362422,"3",3,2,"7","7",7,12,2019,18.2694856686863
"446","music","during",191,"hd","False","False",18.4686929675092,13.355447754576,8.71866356704895,"3",3,3,"9","8",6,3,2020,17.8702822583694
"447","music","during",232,"hd","False","False",15.3242725205636,11.2220917646861,8.59062950948942,"3",3,3,"7","8",6,22,2020,17.8419826921967
"448","comedy","before",396,"hd","True","False",14.8740252424559,10.7112572239328,7.15773548424991,"3",2,2,"7","7",6,26,2019,18.2851907602542
"449","music","before",212,"hd","False","False",16.8041143340457,12.6799531250709,9.40738632416852,"3",3,3,"8","9",7,8,2019,18.2733722992219
"450","music","during",259,"hd","True","False",17.8557366105638,13.4701471114233,10.5090595608401,"3",3,3,"9","9",3,8,2021,17.3317134325911
"451","music","after",263,"hd","False","False",14.8368569190231,10.685583814856,7.46508273639955,"3",2,2,"7","7",10,29,2021,16.4101692664538
"452","music","after",157,"hd","True","False",15.5567718552077,12.2643085342411,8.95092176479726,"3",3,3,"8","8",9,16,2021,16.6520772145547
"453","science/tech","during",181,"hd","True","False",19.3065136539079,12.4749502673417,9.75805707432592,"3",3,3,"8","9",12,9,2020,17.5380959071144
"454","music","before",215,"hd","False","False",17.7023008184568,13.4083915829719,9.66713210724969,"3",3,3,"9","9",6,21,2019,18.2898244443595
"455","comedy","during",251,"hd","True","False",17.4738538944195,14.686918561688,11.5707320020663,"3",3,3,"9","9",9,29,2020,17.6766231430677
"456","music","during",208,"hd","False","False",16.6630049118214,12.3305090538883,8.45977592054629,"3",3,3,"8","8",11,27,2020,17.563101982413
"457","music","before",218,"hd","False","False",17.9237992638213,13.6452286330618,9.96415923206886,"3",3,3,"9","9",12,22,2019,18.0902742713314
"458","music","during",217,"hd","True","False",15.4059523817624,11.7358129835108,8.77971129020447,"3",3,3,"8","8",6,18,2021,17.0297031938015
"459","comedy","before",401,"hd","True","False",16.2890960310525,12.5716077223117,8.80161997114735,"3",3,3,"8","8",6,15,2019,18.2960965766929
"460","music","after",209,"hd","False","False",17.0542995138268,12.1554054708782,8.30102525383845,"3",3,3,"8","8",9,13,2021,16.6675551233986
"461","music","during",198,"hd","False","False",16.6748848764988,12.5010195153228,8.87416809036397,"3",3,3,"8","8",11,27,2020,17.5631021945831
"462","science/tech","during",373,"hd","True","False",15.1005827729949,10.6238850475862,6.93828448401696,"3",2,2,"7","7",11,19,2020,17.5783988293162
"463","news/politics","before",717,"hd","False","False",15.1055536215675,11.5756185343087,8.59044365315583,"3",3,3,"7","8",8,25,2019,18.2237479084241
"464","music","before",198,"hd","True","False",14.8626126866259,10.5456308705033,7.14991683613211,"3",2,2,"7","7",5,31,2019,18.310347842002
"465","music","before",218,"hd","False","False",17.6795198117368,13.1023953364281,9.28868933838716,"3",3,3,"9","8",2,15,2019,18.4072428079684
"466","comedy","during",1359,"hd","True","False",15.4320652856848,11.5273312022778,7.46794233228585,"3",3,2,"7","7",5,31,2021,17.0882834464689
"467","comedy","after",325,"hd","True","False",15.0015832061476,10.9007866795037,7.85554467791566,"3",3,3,"7","7",10,24,2021,16.4416522674557
